avalicao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
409,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
410,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
411,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
412,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
413,37676,37356,37583,37170,37723,37523,37513,37759,37494,38174
414,37676,37356,37583,37170,37898,37523,37513,37759,37494,38174
415,38493,37356,37583,37170,37898,37523,37513,37759,37494,38174
416,38493,37356,37583,37170,37898,37523,37513,37759,37494,38174
417,38493,37356,37583,37170,37898,37523,37513,37759,37494,38231
418,38493,37356,37583,37170,38141,37523,37513,37759,37494,38231
419,38493,37356,37583,37170,38141,37523,37513,37759,37494,38231
420,38493,37356,37583,37170,38141,37523,37513,37759,37494,38231
421,38493,37356,37583,37170,38141,37523,37513,37759,37494,38231
422,38493,37356,37583,37170,38141,37523,37513,37759,37494,38231
423,38493,37356,37583,38076,38141,37523,37513,37759,37494,38231
424,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
425,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
426,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
427,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
428,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
429,38493,37356,38125,38076,38141,37523,37513,37759,37494,38231
