avaliacao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
418,38498,38877,38893,38368,38406,38244,38408,37789,37865,38136
419,38498,38877,38893,38368,38406,38244,38408,37789,37865,38136
420,38498,38877,38893,38368,38406,38244,38408,37789,37865,38136
421,38498,38877,38893,38368,38406,38244,38408,37789,37865,38136
422,38498,38877,38893,38368,38406,38244,38408,37789,37865,38136
423,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
424,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
425,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
426,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
427,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
428,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
429,38498,38877,38893,38368,38406,38316,38408,37789,37865,38136
