geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
301;0.025173;9.7e-05;49687;42187;750;49045.91;48108.0;49687;42187;750;266;False
302;0.026475;0.000102;49687;42187;750;49158.51;48129.0;49687;42187;750;266;False
303;0.026227;0.000103;49687;42187;750;49161.37;48400.0;49687;42187;750;266;False
304;0.027336;0.000104;49687;42187;750;48985.24;47815.0;49687;42187;750;266;False
305;0.026541;0.000117;49687;42187;750;49067.45;47927.0;49687;42187;750;266;False
306;0.026755;0.000143;49687;42187;750;48872.85;47622.0;49687;42187;750;266;False
307;0.026698;0.0001;49687;42187;750;48908.56;47441.0;49687;42187;750;266;False
308;0.026689;9.7e-05;49687;42187;750;49067.8;47874.0;49687;42187;750;266;False
309;0.025455;0.000106;49687;42187;750;48923.53;48071.0;49687;42187;750;266;False
310;0.025257;9.5e-05;49687;42187;750;48921.04;47718.0;49687;42187;750;266;False
