geracao;tempo_geracao_s;tempo_callback_s
799;0.024985;5.9e-05
800;0.024058;0.000614
801;0.026024;6.3e-05
802;0.025481;6.3e-05
803;0.026065;6.6e-05
804;0.025762;6.5e-05
805;0.027251;7e-05
806;0.027848;6.3e-05
807;0.027992;0.000102
808;0.028473;0.000117
809;0.030103;0.000107
810;0.026238;0.0001
811;0.025502;0.000109
812;0.025694;0.0001
813;0.025426;0.0001
814;0.025403;9.5e-05
815;0.025119;0.0001
816;0.024636;9.8e-05
817;0.024615;0.000101
818;0.024799;0.000102
819;0.025145;0.000124
820;0.024776;0.000117
821;0.025517;0.000104
822;0.024603;9.8e-05
823;0.02543;0.000116
824;0.025032;0.000102
825;0.027924;0.000115
826;0.028113;0.000109
827;0.025485;9.5e-05
828;0.025463;9.8e-05
829;0.025445;0.000102
830;0.028529;0.0001
831;0.025747;0.000169
832;0.028501;0.000109
833;0.028203;0.000109
834;0.02822;0.000121
835;0.029391;0.00011
836;0.026751;0.000104
837;0.027392;0.000114
838;0.028431;0.000111
839;0.027654;0.0001
840;0.027844;0.000106
841;0.028498;0.000131
842;0.027167;0.000104
843;0.029346;0.000105
844;0.026897;0.000121
845;0.025876;0.0001
846;0.025003;0.000109
847;0.026858;0.000102
848;0.026712;0.000109
849;0.028573;0.000131
850;0.028192;0.000108
851;0.026241;0.0001
852;0.02519;9.8e-05
853;0.02461;0.000224
854;0.0247;9.6e-05
855;0.024714;0.0001
856;0.025277;9.5e-05
857;0.025975;0.0001
858;0.025529;0.000105
859;0.025535;0.000102
860;0.024516;9.6e-05
861;0.024867;0.000112
862;0.025129;9.8e-05
863;0.025061;9.9e-05
864;0.025327;9.7e-05
865;0.025433;9.7e-05
866;0.025594;9.7e-05
867;0.035449;0.000169
868;0.035998;0.000112
869;0.036631;0.000131
870;0.039299;0.000141
871;0.036566;0.000136
872;0.032769;0.00012
873;0.030372;0.000108
874;0.029324;0.000125
875;0.027486;0.000116
876;0.028244;0.000128
877;0.029468;0.000109
878;0.030445;0.000119
879;0.030382;0.000112
880;0.027948;0.000118
881;0.027734;0.000113
882;0.030954;0.000112
883;0.030805;0.000117
884;0.029423;0.000255
885;0.030497;0.000111
886;0.028367;0.000111
887;0.031566;0.000119
888;0.028479;0.000113
889;0.027584;0.000105
890;0.028554;0.000108
891;0.027357;0.000111
892;0.027244;0.000106
893;0.027547;0.000108
894;0.027135;0.000106
895;0.026769;0.000119
896;0.026609;0.000121
897;0.027085;0.000102
898;0.026572;0.000106
899;0.028098;0.000103
900;0.026859;0.00068
901;0.029147;0.000127
902;0.02827;0.000123
903;0.027719;0.000112
904;0.027007;0.000115
905;0.02652;0.000108
906;0.026583;0.000105
907;0.026505;0.000107
908;0.028819;0.000107
909;0.028343;0.000119
910;0.02656;0.00011
911;0.027136;0.000142
912;0.029166;0.000117
913;0.02658;0.000102
914;0.026785;0.000108
915;0.027668;0.000113
916;0.026757;0.000104
917;0.024698;9.8e-05
918;0.024525;0.000113
919;0.02549;0.000105
920;0.02508;0.000102
921;0.025688;0.000106
922;0.025292;0.000103
923;0.025878;0.000116
924;0.025474;0.000107
925;0.025474;0.0001
926;0.024794;0.000102
927;0.024585;9.8e-05
928;0.02447;9.6e-05
929;0.024487;9.6e-05
930;0.024673;9.6e-05
931;0.025119;0.000104
932;0.025929;0.0001
933;0.026141;0.000101
934;0.026827;0.000106
935;0.029202;0.000126
936;0.031788;0.000131
937;0.029044;0.000178
938;0.027705;0.000105
939;0.026514;0.000107
940;0.027204;0.000124
941;0.026456;0.000128
942;0.025568;0.000102
943;0.025825;0.000111
944;0.027002;0.000106
945;0.028486;0.000116
946;0.027565;0.000105
947;0.025923;0.000104
948;0.0263;0.00011
949;0.025429;0.000143
950;0.025158;0.000113
951;0.025406;0.000103
952;0.025093;0.000103
953;0.02728;0.000121
954;0.025744;0.000114
955;0.025396;0.0001
956;0.025296;0.000103
957;0.025842;0.000102
958;0.025991;0.0001
959;0.027014;0.000109
960;0.028359;0.000114
961;0.028378;0.000109
962;0.027014;0.000105
963;0.026938;0.000103
964;0.027186;0.00012
965;0.028641;0.000141
966;0.02991;0.000107
967;0.027369;0.000108
968;0.028342;0.000112
969;0.026848;0.000104
970;0.026376;0.000104
971;0.031045;0.000197
972;0.037014;0.000114
973;0.029001;0.000104
974;0.028287;0.000108
975;0.028614;0.000111
976;0.028026;0.000109
977;0.027994;0.00011
978;0.030549;0.000114
979;0.030976;0.00012
980;0.028823;0.000105
981;0.032621;0.000117
982;0.031259;0.000116
983;0.029383;0.000162
984;0.030562;0.000116
985;0.029983;0.000121
986;0.027805;0.000102
987;0.026938;9.9e-05
988;0.028123;0.000109
989;0.026329;0.0001
990;0.026231;0.000103
991;0.025803;0.00015
992;0.0258;0.000104
993;0.0264;0.000124
994;0.025349;0.000116
995;0.026705;0.000128
996;0.027957;0.000117
997;0.029067;0.000106
998;0.027688;0.000106
999;0.027387;0.00011
1000;0.02656;0.000658
