avaliacao,SA Original,SA Variação 1,SA Variação 2
638,44145.7,43240.7,45966.0
639,44152.5,43246.9,45979.7
640,44176.1,43246.9,45979.7
641,44219.5,43296.5,45992.6
642,44258.5,43310.6,46028.3
643,44278.4,43333.8,46028.3
644,44295.3,43342.0,46055.6
645,44316.8,43342.2,46090.3
646,44324.8,43357.7,46106.1
647,44350.9,43365.4,46117.4
648,44380.5,43380.3,46144.4
649,44393.2,43400.5,46149.3
650,44418.4,43415.8,46150.9
651,44424.4,43431.8,46172.5
652,44463.6,43439.9,46201.8
653,44469.6,43454.7,46239.8
654,44494.7,43456.4,46239.8
655,44497.5,43466.0,46243.4
656,44528.9,43486.7,46248.1
657,44551.5,43486.7,46282.1
658,44585.5,43486.7,46282.1
659,44609.9,43504.0,46287.8
660,44614.5,43528.0,46296.1
661,44633.9,43551.1,46307.5
662,44676.8,43559.0,46331.2
663,44737.0,43629.1,46333.0
664,44755.8,43661.7,46333.0
665,44765.7,43661.7,46378.5
666,44799.0,43671.5,46378.5
667,44846.1,43695.1,46389.7
668,44862.1,43723.3,46403.7
669,44864.0,43730.7,46412.2
670,44864.0,43743.3,46416.4
671,44881.0,43744.7,46421.1
672,44898.0,43770.9,46437.0
673,44898.0,43790.9,46437.0
674,44904.9,43809.4,46460.5
675,44937.0,43823.7,46460.5
676,44975.8,43827.6,46460.5
677,44987.2,43870.6,46475.8
678,45004.6,43889.6,46483.4
679,45021.3,43893.3,46483.4
680,45032.1,43895.7,46483.4
681,45040.8,43909.2,46483.4
682,45042.8,43920.5,46483.4
683,45054.2,43920.8,46483.4
684,45060.7,43937.4,46498.6
685,45067.3,43937.4,46498.6
686,45076.7,43959.7,46498.6
687,45076.7,43966.1,46499.2
688,45093.5,43984.3,46499.2
689,45104.4,43995.2,46515.0
690,45113.7,44011.6,46515.0
691,45123.4,44018.7,46521.0
692,45154.9,44033.3,46521.0
693,45181.2,44051.3,46535.4
694,45186.8,44060.5,46535.4
695,45197.2,44067.9,46550.1
696,45200.1,44082.6,46580.3
697,45201.6,44095.7,46580.3
698,45205.9,44095.7,46604.7
699,45215.5,44104.8,46634.6
700,45224.5,44110.7,46634.6
701,45254.5,44119.4,46634.6
702,45269.0,44119.8,46634.6
703,45294.4,44123.6,46667.9
704,45319.6,44128.3,46675.7
705,45319.6,44143.3,46687.9
706,45346.5,44168.5,46712.2
707,45347.5,44184.1,46716.5
708,45352.0,44191.6,46722.9
709,45362.3,44217.5,46723.3
710,45364.7,44247.2,46723.3
711,45369.9,44275.5,46728.4
712,45376.4,44277.6,46736.7
713,45382.0,44283.5,46754.4
714,45399.7,44285.0,46767.3
715,45429.9,44292.1,46781.6
716,45441.2,44293.1,46787.1
717,45454.9,44318.3,46787.4
718,45454.9,44333.7,46806.9
719,45468.9,44356.4,46820.7
720,45475.9,44358.3,46820.7
721,45475.9,44358.3,46820.7
722,45484.0,44371.5,46820.7
723,45487.9,44393.1,46849.4
724,45488.3,44401.0,46855.6
725,45490.8,44415.9,46862.5
726,45497.3,44428.7,46864.5
727,45506.5,44466.6,46881.5
728,45514.0,44468.7,46904.3
729,45514.8,44468.7,46920.8
730,45518.6,44493.9,46937.7
731,45536.6,44495.3,46937.7
732,45547.6,44495.3,46947.2
733,45567.2,44504.3,46953.8
734,45567.9,44518.0,46956.1
735,45590.5,44518.0,46980.7
736,45591.1,44529.0,46993.1
737,45616.0,44543.4,47003.9
738,45623.7,44543.4,47025.5
739,45638.8,44549.5,47029.3
740,45643.8,44549.5,47044.7
741,45651.3,44551.3,47052.7
742,45671.0,44568.6,47062.3
743,45676.2,44572.4,47064.0
744,45678.5,44572.7,47093.8
745,45692.9,44578.7,47096.2
746,45692.9,44578.7,47096.2
747,45692.9,44578.9,47110.4
748,45701.7,44592.2,47110.4
749,45731.5,44602.9,47152.1
750,45731.5,44602.9,47152.1
751,45755.2,44607.8,47152.1
752,45765.9,44619.8,47163.1
753,45767.0,44629.0,47165.1
754,45772.3,44634.4,47165.1
755,45776.1,44651.2,47165.1
756,45782.5,44653.3,47174.9
757,45787.6,44677.4,47180.3
758,45806.6,44677.4,47180.3
759,45827.7,44677.4,47181.6
760,45853.0,44693.6,47181.6
761,45856.3,44705.8,47202.1
762,45870.1,44719.6,47236.8
763,45877.2,44721.1,47236.8
764,45909.7,44722.4,47257.0
765,45917.8,44732.1,47260.1
766,45920.1,44732.1,47275.4
767,45927.1,44734.7,47294.2
768,45927.1,44735.8,47295.1
769,45927.9,44738.3,47299.7
770,45930.0,44751.9,47299.7
771,45946.1,44751.9,47315.6
772,45953.7,44751.9,47325.0
773,45966.0,44756.9,47325.0
774,45988.6,44756.9,47330.0
775,46011.5,44761.1,47331.4
776,46011.5,44761.1,47335.7
777,46036.2,44769.3,47335.7
778,46050.4,44771.3,47335.7
779,46059.5,44776.7,47345.8
780,46059.5,44792.0,47364.1
781,46061.2,44806.5,47366.8
782,46061.2,44806.5,47366.8
783,46061.2,44806.8,47379.2
784,46073.5,44809.7,47386.3
785,46079.5,44811.5,47386.3
786,46091.4,44839.4,47396.8
787,46100.3,44839.4,47425.7
788,46106.4,44839.4,47425.7
789,46113.0,44842.1,47425.7
790,46149.1,44842.1,47425.7
791,46161.3,44844.2,47427.1
792,46191.6,44844.2,47434.3
793,46193.9,44860.8,47434.3
794,46202.3,44860.8,47440.0
795,46202.3,44874.4,47440.0
796,46202.3,44885.9,47452.0
797,46202.6,44892.5,47462.5
798,46214.3,44892.5,47481.5
799,46216.9,44896.5,47484.0
800,46222.7,44896.5,47484.0
801,46240.7,44898.2,47504.9
802,46240.7,44898.2,47504.9
803,46275.3,44898.2,47507.1
804,46282.8,44906.9,47516.1
805,46293.0,44913.8,47521.8
806,46304.6,44929.0,47521.8
807,46322.1,44942.8,47534.6
808,46338.0,44945.0,47534.6
809,46356.1,44946.4,47534.6
810,46366.9,44946.5,47550.8
811,46379.9,44953.7,47555.4
812,46407.1,44961.4,47565.3
813,46407.1,44961.4,47573.9
814,46407.1,44965.3,47573.9
