avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
324,41118,40814,38865,38749,37850,40187,39334,40604,38890,39305
325,41146,40814,38865,38816,37850,40187,39334,40604,38922,39305
326,41146,40814,38865,39034,37850,40187,39334,40604,38922,39305
327,41196,40814,38865,39034,37850,40187,39334,40637,38922,39305
328,41196,40814,38865,39214,37850,40187,39334,40658,38922,39305
329,41196,40814,38865,39225,37850,40201,39334,40831,38922,39305
330,41196,40814,38865,39225,37850,40201,39334,40831,38922,39305
331,41196,40814,38986,39235,37850,40201,39413,40831,38922,39305
332,41196,40814,38986,39235,37850,40201,39507,40844,38963,39323
333,41196,40814,38986,39425,37850,40261,39507,40844,38965,39323
334,41196,40814,38986,39425,37850,40298,39512,40844,38965,39323
335,41196,40814,39069,39425,37850,40343,39512,40874,39005,39323
336,41196,40814,39179,39425,37850,40343,39617,40874,39005,39323
337,41196,40814,39234,39425,37850,40343,39827,40926,39005,39323
338,41196,40814,39234,39425,37850,40343,39827,40926,39005,39323
339,41311,40814,39329,39425,37850,40343,39827,40926,39023,39323
340,41311,40821,39329,39425,37850,40343,39827,40926,39027,39323
341,41333,40950,39329,39425,37850,40343,39827,40926,39027,39323
342,41333,40950,39329,39584,37850,40343,39838,40926,39027,39323
343,41370,40950,39329,39612,37850,40343,39987,40926,39027,39323
344,41370,40950,39329,39671,37850,40343,40110,41041,39027,39339
345,41370,40950,39329,39671,37850,40343,40127,41041,39027,39339
346,41536,40950,39329,39671,37850,40343,40127,41041,39027,39339
347,41720,40950,39329,39671,37850,40343,40127,41041,39027,39339
348,41720,41000,39329,39671,37850,40343,40144,41041,39134,39339
349,41720,41024,39329,39671,37850,40343,40265,41041,39134,39339
350,41720,41024,39329,39671,37850,40343,40265,41041,39134,39451
351,41720,41024,39329,39671,37850,40343,40265,41041,39134,39451
352,41720,41042,39333,39671,37850,40343,40366,41049,39134,39476
353,41720,41042,39333,39671,37850,40343,40366,41049,39179,39476
354,41720,41042,39333,39671,37850,40343,40366,41049,39188,39476
