step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
169,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
170,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
171,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
172,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
173,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
174,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
175,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
176,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
177,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
178,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
179,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
180,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
181,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
182,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
183,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
184,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
185,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
186,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
187,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
188,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
189,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
190,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
191,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
192,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
193,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
194,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
195,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
196,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
197,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
198,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
199,50693.0,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
200,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
201,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
202,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
203,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
204,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
205,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
206,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
207,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
208,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
209,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
210,50693.1,50694.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50694.0,50692.0,50693.0
